,Conglomerado,Anio,Estado,Municipio,Causa,ImpactoVegetacion,ImpactoSuelo,ImpactoAgua,Observaciones
837,72292,2009,Oaxaca,Santiago Yaveo,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
838,72312,2009,Veracruz de Ignacio de la Llave,Jesus Carranza,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Extracción madera
839,72312,2009,Veracruz de Ignacio de la Llave,Jesus Carranza,Incendios,No perceptible,No perceptible,No perceptible,Incendio forestal
840,72312,2009,Veracruz de Ignacio de la Llave,Jesus Carranza,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
841,72317,2009,Veracruz de Ignacio de la Llave,Uxpanapa,Apertura de caminos,Mediana,Mediana,No perceptible,Veredas para ganado
842,72317,2009,Veracruz de Ignacio de la Llave,Uxpanapa,Aprovechamientos forestales,Mayor,Mediana,No perceptible,Tala
843,72317,2009,Veracruz de Ignacio de la Llave,Uxpanapa,Uso del suelo diferente al forestal,Mayor,Mediana,No perceptible,"Potrero, pastizal inducido."
844,72317,2009,Veracruz de Ignacio de la Llave,Uxpanapa,Pastoreo,Menor,Menor,No perceptible,Vacuno
845,72317,2009,Veracruz de Ignacio de la Llave,Uxpanapa,Plagas y enfermedades,Menor,No perceptible,No perceptible,"Hongos, plantas parásitas"
846,72322,2009,Veracruz de Ignacio de la Llave,Uxpanapa,Incendios,Mediana,Menor,No perceptible,"El incendio fue en 1998 ""Superficial"""
847,72322,2009,Veracruz de Ignacio de la Llave,Uxpanapa,Pastoreo,No perceptible,Menor,No perceptible,Ganado vacuno
848,72322,2009,Veracruz de Ignacio de la Llave,Uxpanapa,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
849,72461,2009,Oaxaca,Heroica Ciudad de Tlaxiaco,Aprovechamientos forestales,Menor,Menor,No perceptible,Tala clandestina
850,72461,2009,Oaxaca,Heroica Ciudad de Tlaxiaco,Incendios,Menor,Menor,No perceptible,Superficial
851,72471,2009,Oaxaca,Magdalena Jaltepec,Apertura de caminos,Menor,Menor,No perceptible,Veredas
852,72476,2009,Oaxaca,Santiago Tenango,Apertura de caminos,Menor,Menor,No perceptible,Veredas
853,72476,2009,Oaxaca,Santiago Tenango,Incendios,Menor,Menor,No perceptible,Incendios forestales
854,72476,2009,Oaxaca,Santiago Tenango,Pastoreo,Menor,Menor,No perceptible,Ganado vacuno
855,72481,2009,Oaxaca,Magdalena Apasco,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Tala clandestina
856,72481,2009,Oaxaca,Magdalena Apasco,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos y plantas parasitas
857,72486,2009,Oaxaca,Santa Catarina Ixtepeji,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Tala clandestina.
858,72486,2009,Oaxaca,Santa Catarina Ixtepeji,Pastoreo,No perceptible,Menor,Menor,Ganado vacuno.
859,72486,2009,Oaxaca,Santa Catarina Ixtepeji,Plagas y enfermedades,Mayor,No perceptible,No perceptible,Insectos y plantas parásitas.
860,72496,2009,Oaxaca,Totontepec Villa de Morelos,Huracanes,Menor,No perceptible,No perceptible,Fuertes vientos
861,72496,2009,Oaxaca,Totontepec Villa de Morelos,Pastoreo,Menor,Menor,No perceptible,Vacas
862,72496,2009,Oaxaca,Totontepec Villa de Morelos,Plagas y enfermedades,No perceptible,No perceptible,No perceptible,Insectos y árboles enfermos
863,72501,2009,Oaxaca,Santiago Zacatepec,Uso del suelo diferente al forestal,Menor,No perceptible,No perceptible,Cultivo de café
864,72501,2009,Oaxaca,Santiago Zacatepec,Plagas y enfermedades,Menor,No perceptible,No perceptible,"Plantas, parásitoas e insectos"
865,72521,2009,Oaxaca,Matias Romero,Aprovechamientos forestales,Mayor,Menor,Menor,Extracción de madera
866,72521,2009,Oaxaca,Matias Romero,Incendios,Mayor,Menor,Menor,Quema agropecuaria
867,72521,2009,Oaxaca,Matias Romero,Pastoreo,Mediana,Mediana,Menor,Ganado vacuno
868,72521,2009,Oaxaca,Matias Romero,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
869,72526,2009,Oaxaca,Santa Maria Chimalapa,Apertura de caminos,No perceptible,No perceptible,No perceptible,Vereda
870,72526,2009,Oaxaca,Santa Maria Chimalapa,Plagas y enfermedades,Menor,No perceptible,No perceptible,"Plantas parásitas, hongos e insectos"
871,72536,2009,Oaxaca,Santa Maria Chimalapa,Uso del suelo diferente al forestal,Mayor,Mediana,Menor,Pastoreo
872,72536,2009,Oaxaca,Santa Maria Chimalapa,Pastoreo,Mayor,Mediana,Menor,Ganaderia extensiva
873,72541,2009,Oaxaca,Santa Maria Chimalapa,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
874,72665,2009,Oaxaca,San Sebastian Tecomaxtlahuac,Apertura de caminos,Mediana,Menor,No perceptible,Veredas|
875,72665,2009,Oaxaca,San Sebastian Tecomaxtlahuac,Aprovechamientos forestales,Mediana,Menor,No perceptible,Leña
876,72665,2009,Oaxaca,San Sebastian Tecomaxtlahuac,Asentamientos humanos,Menor,Menor,No perceptible,Casa abandonada
877,72665,2009,Oaxaca,San Sebastian Tecomaxtlahuac,Uso del suelo diferente al forestal,Mediana,Menor,No perceptible,Agricultura
878,72665,2009,Oaxaca,San Sebastian Tecomaxtlahuac,Pastoreo,Mediana,Menor,No perceptible,Ganado bovino
879,72670,2009,Oaxaca,San Martin Itunyoso,Apertura de caminos,Mediana,Menor,No perceptible,Brecha
880,72670,2009,Oaxaca,San Martin Itunyoso,Pastoreo,Mediana,Menor,No perceptible,Ganado Bovino
881,72675,2009,Oaxaca,Heroica Ciudad de Tlaxiaco,Apertura de caminos,Mayor,Mediana,No perceptible,acceso de vehiculo a casa habitacion
882,72675,2009,Oaxaca,Heroica Ciudad de Tlaxiaco,Asentamientos humanos,Mayor,Mayor,No perceptible,Casa habitación
883,72675,2009,Oaxaca,Heroica Ciudad de Tlaxiaco,Uso del suelo diferente al forestal,Mayor,Mediana,No perceptible,Cultivo de maíz
884,72685,2009,Oaxaca,Santa Ines de Zaragoza,Apertura de caminos,Menor,Menor,No perceptible,Veredas
885,72685,2009,Oaxaca,Santa Ines de Zaragoza,Uso del suelo diferente al forestal,Menor,Menor,No perceptible,Agricultura de temporal
886,72685,2009,Oaxaca,Santa Ines de Zaragoza,Pastoreo,Menor,Menor,No perceptible,Ganado vacuno
887,72690,2009,Oaxaca,Santiago Suchilquitongo,Apertura de caminos,Menor,No perceptible,No perceptible,Brecha
888,72690,2009,Oaxaca,Santiago Suchilquitongo,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Tala clandestina
889,72690,2009,Oaxaca,Santiago Suchilquitongo,Pastoreo,Mediana,No perceptible,No perceptible,Ganaderia extensiva
890,72690,2009,Oaxaca,Santiago Suchilquitongo,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos y plantas parasitas
891,72695,2009,Oaxaca,San Agustin Etla,Huracanes,Menor,No perceptible,No perceptible,Afectación por viento
892,72695,2009,Oaxaca,San Agustin Etla,Pastoreo,Menor,No perceptible,No perceptible,Ganado vacuno
893,72695,2009,Oaxaca,San Agustin Etla,Plagas y enfermedades,Mediana,No perceptible,No perceptible,Insectos y plantas parásitas
894,72700,2009,Oaxaca,San Miguel Amatlan,Apertura de caminos,Mediana,Mediana,Menor,Aprovechamiento forestal (brecha)
895,72700,2009,Oaxaca,San Miguel Amatlan,Aprovechamientos forestales,Mediana,Menor,Menor,Extracción de madera
896,72700,2009,Oaxaca,San Miguel Amatlan,Plagas y enfermedades,Menor,Menor,Menor,Insectos (descortizador y plantas parásitas.
897,72705,2009,Oaxaca,San Francisco Cajonos,Huracanes,Menor,No perceptible,No perceptible,Fuertes vientos
898,72705,2009,Oaxaca,San Francisco Cajonos,Incendios,No perceptible,No perceptible,No perceptible,Muy pocoos arboles con evidencia de fuego
899,72705,2009,Oaxaca,San Francisco Cajonos,Plagas y enfermedades,Menor,No perceptible,No perceptible,Arboles enfermos
900,72715,2009,Oaxaca,San Juan Cotzocon,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Tala clandestina
901,72715,2009,Oaxaca,San Juan Cotzocon,Asentamientos humanos,No perceptible,Menor,No perceptible,Rancho la cruz
902,72715,2009,Oaxaca,San Juan Cotzocon,Incendios,Menor,No perceptible,No perceptible,Años anteriores
903,72725,2009,Oaxaca,San Juan Mazatlan,Uso del suelo diferente al forestal,Mayor,Menor,Menor,Potrero
904,72750,2009,Oaxaca,Santa Maria Chimalapa,Uso del suelo diferente al forestal,Mayor,Mediana,No perceptible,Pastoreo
905,72750,2009,Oaxaca,Santa Maria Chimalapa,Pastoreo,Mayor,Mediana,No perceptible,Ganaderìa extensiva
906,72880,2009,Oaxaca,Santiago Juxtlahuaca,Apertura de caminos,Mediana,Menor,No perceptible,Veredas
907,72880,2009,Oaxaca,Santiago Juxtlahuaca,Aprovechamientos forestales,Mediana,Menor,No perceptible,Leña
908,72880,2009,Oaxaca,Santiago Juxtlahuaca,Incendios,Mediana,Menor,No perceptible,Superficial
909,72880,2009,Oaxaca,Santiago Juxtlahuaca,Pastoreo,Mediana,Menor,No perceptible,Ganado bovino
910,72895,2009,Oaxaca,Magdalena Jaltepec,Apertura de caminos,Menor,Menor,No perceptible,Veredas
911,72895,2009,Oaxaca,Magdalena Jaltepec,Aprovechamientos forestales,Menor,Menor,No perceptible,Leña
912,72895,2009,Oaxaca,Magdalena Jaltepec,Incendios,Menor,Menor,No perceptible,Incendio forestal
913,72910,2009,Oaxaca,Santa Catarina Ixtepeji,Huracanes,Menor,No perceptible,No perceptible,Vientos
914,72910,2009,Oaxaca,Santa Catarina Ixtepeji,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
915,72915,2009,Oaxaca,Villa Diaz Ordaz,Huracanes,No perceptible,No perceptible,No perceptible,Arboles quebrados
916,72915,2009,Oaxaca,Villa Diaz Ordaz,Pastoreo,No perceptible,No perceptible,No perceptible,Bovinos
917,72915,2009,Oaxaca,Villa Diaz Ordaz,Plagas y enfermedades,Menor,No perceptible,No perceptible,Arboles enfermos
918,72925,2009,Oaxaca,Santa Maria Alotepec,Apertura de caminos,Mediana,Mayor,Mediana,Caminos vecinales
919,72925,2009,Oaxaca,Santa Maria Alotepec,Uso del suelo diferente al forestal,Mayor,Mayor,Mediana,Cultivo de temporal
920,72925,2009,Oaxaca,Santa Maria Alotepec,Incendios,Menor,Menor,No perceptible,Quema agropecuaria
921,72940,2009,Oaxaca,San Juan Mazatlan,Apertura de caminos,Menor,Menor,No perceptible,veredas
922,72940,2009,Oaxaca,San Juan Mazatlan,Uso del suelo diferente al forestal,Mayor,Mediana,No perceptible,pastizal
923,72940,2009,Oaxaca,San Juan Mazatlan,Pastoreo,Mediana,Menor,No perceptible,bovinos
924,72950,2009,Oaxaca,Matias Romero,Apertura de caminos,Mayor,Mayor,No perceptible,Brecha de terraceria
925,72950,2009,Oaxaca,Matias Romero,Uso del suelo diferente al forestal,Mayor,Mayor,Mediana,"Siembra de pastos, zacate y buffer"
926,72950,2009,Oaxaca,Matias Romero,Incendios,Mayor,No perceptible,No perceptible,Quema agropecuaria
927,72950,2009,Oaxaca,Matias Romero,Pastoreo,Mayor,Mayor,Mediana,Ganado vacuno
928,72950,2009,Oaxaca,Matias Romero,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
929,73094,2009,Oaxaca,Santiago Juxtlahuaca,Apertura de caminos,Menor,Menor,No perceptible,Veredas
930,73094,2009,Oaxaca,Santiago Juxtlahuaca,Aprovechamientos forestales,Mediana,Menor,No perceptible,Leña
931,73094,2009,Oaxaca,Santiago Juxtlahuaca,Uso del suelo diferente al forestal,Mediana,Menor,No perceptible,Agricultura
932,73094,2009,Oaxaca,Santiago Juxtlahuaca,Pastoreo,Mediana,Menor,No perceptible,Ganado bovino
933,73099,2009,Oaxaca,Santa Cruz Nundaco,Apertura de caminos,Menor,Menor,No perceptible,Veredas y Brecha
934,73099,2009,Oaxaca,Santa Cruz Nundaco,Aprovechamientos forestales,Menor,Menor,No perceptible,Tala clandestina
935,73099,2009,Oaxaca,Santa Cruz Nundaco,Incendios,Menor,Menor,No perceptible,Superficial
936,73104,2009,Oaxaca,San Juan Teita,Pastoreo,Menor,Mediana,No perceptible,Caprino
937,73109,2009,Oaxaca,San Juan Tamazola,Aprovechamientos forestales,Menor,Menor,No perceptible,Extracción de leña
938,73109,2009,Oaxaca,San Juan Tamazola,Lineas Electricas,Menor,Menor,No perceptible,Líneas eléctricas
939,73114,2009,Oaxaca,Santa Maria Peñoles,Aprovechamientos forestales,Mediana,Menor,No perceptible,Tala clandestina
940,73114,2009,Oaxaca,Santa Maria Peñoles,Pastoreo,Menor,No perceptible,No perceptible,Ganado vacuno
941,73114,2009,Oaxaca,Santa Maria Peñoles,Plagas y enfermedades,Menor,No perceptible,No perceptible,"Insectos, plantas parásitas"
942,73119,2009,Oaxaca,Oaxaca de Juarez,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Tala clandestina
943,73119,2009,Oaxaca,Oaxaca de Juarez,Asentamientos humanos,Mayor,Mayor,Menor,Paracaidistas
944,73119,2009,Oaxaca,Oaxaca de Juarez,Pastoreo,Mediana,Menor,No perceptible,Ganado vacuno
945,73119,2009,Oaxaca,Oaxaca de Juarez,Plagas y enfermedades,Mediana,No perceptible,No perceptible,Insectos y plantas parásitas
946,73124,2009,Oaxaca,Teotitlan del Valle,Apertura de caminos,Mediana,Mediana,Menor,Brecha de comunicación
947,73124,2009,Oaxaca,Teotitlan del Valle,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Tala clandestina
948,73124,2009,Oaxaca,Teotitlan del Valle,Uso del suelo diferente al forestal,Menor,Menor,No perceptible,Cultivo de temporal
949,73124,2009,Oaxaca,Teotitlan del Valle,Plagas y enfermedades,Mediana,Menor,Menor,Insectos y plantas parásitas
950,73129,2009,Oaxaca,Santo Domingo Albarradas,Apertura de caminos,Menor,Mediana,No perceptible,Brecha
951,73129,2009,Oaxaca,Santo Domingo Albarradas,Aprovechamientos forestales,Mediana,Mediana,No perceptible,Tala
952,73129,2009,Oaxaca,Santo Domingo Albarradas,Huracanes,Menor,No perceptible,No perceptible,Vientos fuertes
953,73129,2009,Oaxaca,Santo Domingo Albarradas,Incendios,Menor,No perceptible,No perceptible,Superficial
954,73129,2009,Oaxaca,Santo Domingo Albarradas,Plagas y enfermedades,No perceptible,No perceptible,No perceptible,Insectos y hongos
955,73139,2009,Oaxaca,Santa Maria Alotepec,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Tala clandestina
956,73139,2009,Oaxaca,Santa Maria Alotepec,Incendios,Menor,No perceptible,No perceptible,Años anteriores
957,73139,2009,Oaxaca,Santa Maria Alotepec,Pastoreo,Menor,No perceptible,No perceptible,Ganaderia extensiva
958,73139,2009,Oaxaca,Santa Maria Alotepec,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
959,73164,2009,Oaxaca,Santa Maria Chimalapa,Huracanes,Menor,No perceptible,No perceptible,Fuertes vientos
960,73317,2009,Oaxaca,Santiago Tilantongo,Uso del suelo diferente al forestal,Mayor,Mayor,No perceptible,Ganadería
961,73317,2009,Oaxaca,Santiago Tilantongo,Incendios,Mayor,Mayor,No perceptible,Superficial
962,73317,2009,Oaxaca,Santiago Tilantongo,Pastoreo,Mediana,Menor,No perceptible,Vacas
963,73342,2009,Oaxaca,San Pedro y San Pablo Ayutla,Apertura de caminos,Menor,Menor,No perceptible,Veredas
964,73342,2009,Oaxaca,San Pedro y San Pablo Ayutla,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Tala clandestina
965,73342,2009,Oaxaca,San Pedro y San Pablo Ayutla,Huracanes,No perceptible,No perceptible,No perceptible,Fuertes vientos
966,73342,2009,Oaxaca,San Pedro y San Pablo Ayutla,Pastoreo,Menor,Menor,No perceptible,Vacuno
967,73342,2009,Oaxaca,San Pedro y San Pablo Ayutla,Plagas y enfermedades,No perceptible,No perceptible,No perceptible,Insectos
968,73347,2009,Oaxaca,Asuncion Cacalotepec,Uso del suelo diferente al forestal,Mayor,Menor,Menor,Cultivo de temporal
969,73347,2009,Oaxaca,Asuncion Cacalotepec,Incendios,Mayor,Menor,Menor,"Roza, tumba y quema"
970,73352,2009,Oaxaca,San Juan Cotzocon,Uso del suelo diferente al forestal,No perceptible,No perceptible,No perceptible,Cultivo de café
971,73357,2009,Oaxaca,San Juan Mazatlan,Incendios,No perceptible,No perceptible,No perceptible,Incendio superficial
972,73519,2009,Oaxaca,San Esteban Atatlahuca,Incendios,Menor,Menor,No perceptible,Superficial
973,73519,2009,Oaxaca,San Esteban Atatlahuca,Plagas y enfermedades,Menor,Menor,No perceptible,Insectos plantas parásitas.
974,73524,2009,Oaxaca,San Pablo Tijaltepec,Pastoreo,Menor,Menor,No perceptible,Vacuno
975,73524,2009,Oaxaca,San Pablo Tijaltepec,Plagas y enfermedades,Mediana,No perceptible,No perceptible,"Defoliador, muerdago"
976,73534,2009,Oaxaca,Santa Maria Peñoles,Aprovechamientos forestales,Mediana,Menor,Menor,Tala clandestina
977,73534,2009,Oaxaca,Santa Maria Peñoles,Uso del suelo diferente al forestal,Mayor,Mediana,Mediana,Tierra de cultivo de temporal
978,73534,2009,Oaxaca,Santa Maria Peñoles,Pastoreo,Mediana,Menor,Menor,Ganado vacuno
979,73534,2009,Oaxaca,Santa Maria Peñoles,Plagas y enfermedades,Mediana,No perceptible,No perceptible,Insectos y plantas parasitas
980,73539,2009,Oaxaca,Cuilapam de Guerrero,Uso del suelo diferente al forestal,Mayor,Menor,Menor,Agricultura de temporal
981,73539,2009,Oaxaca,Cuilapam de Guerrero,Pastoreo,Mediana,Menor,No perceptible,Ganado caprino ovino
982,73539,2009,Oaxaca,Cuilapam de Guerrero,Plagas y enfermedades,No perceptible,No perceptible,No perceptible,Insectos
983,73549,2009,Oaxaca,San Pablo Villa de Mitla,Huracanes,Menor,No perceptible,No perceptible,Fuertes vientos
984,73549,2009,Oaxaca,San Pablo Villa de Mitla,Pastoreo,Menor,Menor,No perceptible,Vacas
985,73549,2009,Oaxaca,San Pablo Villa de Mitla,Plagas y enfermedades,Menor,No perceptible,No perceptible,Árboles enfermos
986,73559,2009,Oaxaca,San Pedro Ocotepec,Uso del suelo diferente al forestal,Mayor,Menor,Menor,Cultivo de temporal
987,73559,2009,Oaxaca,San Pedro Ocotepec,Pastoreo,Mayor,Menor,Menor,Ganadería
988,73564,2009,Oaxaca,San Lucas Camotlan,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Tala clandestina
989,73564,2009,Oaxaca,San Lucas Camotlan,Asentamientos humanos,Menor,Menor,No perceptible,Delimitacion de terrenos por una barda
990,73564,2009,Oaxaca,San Lucas Camotlan,Incendios,Menor,No perceptible,No perceptible,Años anteriores
991,73564,2009,Oaxaca,San Lucas Camotlan,Pastoreo,Menor,No perceptible,No perceptible,Ganadería Extensiva
992,73564,2009,Oaxaca,San Lucas Camotlan,Plagas y enfermedades,No perceptible,No perceptible,No perceptible,Insectos
993,73574,2009,Oaxaca,San Juan Guichicovi,Uso del suelo diferente al forestal,Menor,No perceptible,No perceptible,Potreros
994,73574,2009,Oaxaca,San Juan Guichicovi,Incendios,No perceptible,No perceptible,No perceptible,Años anteriores
995,73574,2009,Oaxaca,San Juan Guichicovi,Pastoreo,Menor,No perceptible,No perceptible,Ganado vacuno
996,73574,2009,Oaxaca,San Juan Guichicovi,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos y larvas
997,73579,2009,Oaxaca,Matias Romero,Uso del suelo diferente al forestal,Mayor,Menor,No perceptible,pastizal
998,73579,2009,Oaxaca,Matias Romero,Incendios,Mediana,Menor,No perceptible,superficial
999,73579,2009,Oaxaca,Matias Romero,Pastoreo,Menor,No perceptible,No perceptible,ganado bovino
1000,73729,2009,Oaxaca,San Miguel el Grande,Pastoreo,Menor,Menor,No perceptible,Vacuno
1001,73729,2009,Oaxaca,San Miguel el Grande,Plagas y enfermedades,Menor,No perceptible,No perceptible,"Defoliador, descortezador"
1002,73734,2009,Oaxaca,San Mateo Sindihui,Pastoreo,Menor,Menor,No perceptible,Vacuno
1003,73734,2009,Oaxaca,San Mateo Sindihui,Plagas y enfermedades,No perceptible,No perceptible,No perceptible,Insectos y plantas parasitas
1004,73739,2009,Oaxaca,San Miguel Piedras,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Extraccion de leña
1005,73739,2009,Oaxaca,San Miguel Piedras,Huracanes,No perceptible,No perceptible,No perceptible,Fuertes vientos
1006,73739,2009,Oaxaca,San Miguel Piedras,Incendios,Menor,No perceptible,No perceptible,Incendio forestal
1007,73739,2009,Oaxaca,San Miguel Piedras,Pastoreo,No perceptible,No perceptible,No perceptible,Ganado ovino
1008,73739,2009,Oaxaca,San Miguel Piedras,Plagas y enfermedades,Mediana,No perceptible,No perceptible,Barrenador del pino
1009,73759,2009,Oaxaca,San Lorenzo Albarradas,Apertura de caminos,Mediana,Mediana,No perceptible,Brechas
1010,73759,2009,Oaxaca,San Lorenzo Albarradas,Uso del suelo diferente al forestal,Mediana,Mediana,No perceptible,Potrero (sitio4)
1011,73759,2009,Oaxaca,San Lorenzo Albarradas,Pastoreo,Mediana,Mediana,No perceptible,Vacuno
1012,73759,2009,Oaxaca,San Lorenzo Albarradas,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
1013,73764,2009,Oaxaca,Santa Maria Tepantlali,Apertura de caminos,Mediana,Mediana,No perceptible,Brechas para cultivos
1014,73764,2009,Oaxaca,Santa Maria Tepantlali,Aprovechamientos forestales,Mediana,Mediana,No perceptible,Tala
1015,73764,2009,Oaxaca,Santa Maria Tepantlali,Uso del suelo diferente al forestal,Mediana,Mediana,No perceptible,Cultivos
1016,73764,2009,Oaxaca,Santa Maria Tepantlali,Incendios,Menor,Menor,No perceptible,Quemas agropecuarias
1017,73764,2009,Oaxaca,Santa Maria Tepantlali,Plagas y enfermedades,No perceptible,No perceptible,No perceptible,Enfermedades e insectos
1018,73769,2009,Oaxaca,San Miguel Quetzaltepec,Apertura de caminos,Menor,Menor,No perceptible,Brecha que va a Ocatepec
1019,73769,2009,Oaxaca,San Miguel Quetzaltepec,Incendios,Menor,No perceptible,No perceptible,Incendios años anteriores
1020,73774,2009,Oaxaca,Santiago Ixcuintepec,Incendios,Mediana,No perceptible,No perceptible,Años anteriores
1021,73774,2009,Oaxaca,Santiago Ixcuintepec,Pastoreo,No perceptible,Menor,No perceptible,Ganado vacuno
1022,73779,2009,Oaxaca,Guevea de Humboldt,Huracanes,No perceptible,No perceptible,No perceptible,Viento
1023,73779,2009,Oaxaca,Guevea de Humboldt,Plagas y enfermedades,No perceptible,No perceptible,No perceptible,Insectos
1024,73784,2009,Oaxaca,San Juan Guichicovi,Apertura de caminos,Menor,Menor,No perceptible,Veredas
1025,73784,2009,Oaxaca,San Juan Guichicovi,Uso del suelo diferente al forestal,Menor,Mediana,Menor,Pastizal
1026,73784,2009,Oaxaca,San Juan Guichicovi,Incendios,Menor,No perceptible,No perceptible,Superficial
1027,73784,2009,Oaxaca,San Juan Guichicovi,Pastoreo,Mediana,Menor,No perceptible,Vacuno
1028,73789,2009,Oaxaca,Santa Maria Chimalapa,Pastoreo,Mediana,Mediana,No perceptible,"Vacas, potreros"
1029,73804,2009,Oaxaca,Santa Maria Chimalapa,Aprovechamientos forestales,Menor,Menor,No perceptible,"Cercos, madera"
1030,73804,2009,Oaxaca,Santa Maria Chimalapa,Uso del suelo diferente al forestal,Mayor,Menor,No perceptible,Agricultura temporal
1031,73804,2009,Oaxaca,Santa Maria Chimalapa,Incendios,No perceptible,No perceptible,No perceptible,Años anteriores
1032,73804,2009,Oaxaca,Santa Maria Chimalapa,Pastoreo,Mediana,Menor,No perceptible,Bovinos
1033,73937,2009,Oaxaca,Chalcatongo de Hidalgo,Aprovechamientos forestales,Mediana,Menor,No perceptible,Tala clandestina
1034,73937,2009,Oaxaca,Chalcatongo de Hidalgo,Plagas y enfermedades,Menor,No perceptible,No perceptible,Descortezador
1035,73942,2009,Oaxaca,San Francisco Cahuacuá,Huracanes,No perceptible,No perceptible,No perceptible,Fuertes vientos
1036,73942,2009,Oaxaca,San Francisco Cahuacuá,Incendios,No perceptible,No perceptible,No perceptible,Incendio forestal
1037,73942,2009,Oaxaca,San Francisco Cahuacuá,Pastoreo,No perceptible,No perceptible,No perceptible,Ganado vacuno
1038,73942,2009,Oaxaca,San Francisco Cahuacuá,Plagas y enfermedades,Mediana,No perceptible,No perceptible,Insectos
1039,73947,2009,Oaxaca,San Antonio Huitepec,Aprovechamientos forestales,No perceptible,No perceptible,No perceptible,Extracción de leña
1040,73947,2009,Oaxaca,San Antonio Huitepec,Huracanes,No perceptible,No perceptible,No perceptible,"Árboles tirados , por viento"
1041,73947,2009,Oaxaca,San Antonio Huitepec,Incendios,Menor,No perceptible,No perceptible,Incendio forestal
1042,73947,2009,Oaxaca,San Antonio Huitepec,Plagas y enfermedades,Mediana,No perceptible,No perceptible,Insectos
1043,73952,2009,Oaxaca,Santa Ines del Monte,Aprovechamientos forestales,No perceptible,No perceptible,No perceptible,Extracción de leña
1044,73952,2009,Oaxaca,Santa Ines del Monte,Huracanes,No perceptible,No perceptible,No perceptible,Fuertes vientos
1045,73952,2009,Oaxaca,Santa Ines del Monte,Incendios,No perceptible,No perceptible,No perceptible,Incendio forestal
1046,73952,2009,Oaxaca,Santa Ines del Monte,Pastoreo,Menor,No perceptible,No perceptible,Ganado vacuno
1047,73952,2009,Oaxaca,Santa Ines del Monte,Plagas y enfermedades,Mediana,No perceptible,No perceptible,Insectos y hongos
1048,73967,2009,Oaxaca,San Juan del Rio,Uso del suelo diferente al forestal,Mediana,Mediana,Menor,Cultivos semipernnes de agave sp
1049,73967,2009,Oaxaca,San Juan del Rio,Pastoreo,Menor,Mediana,Menor,Ganado vacuno
1050,73967,2009,Oaxaca,San Juan del Rio,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos(descortizador)
1051,73972,2009,Oaxaca,San Juan Juquila Mixes,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Tala Candestina
1052,73972,2009,Oaxaca,San Juan Juquila Mixes,Pastoreo,Menor,No perceptible,No perceptible,Ganado vacuno
1053,73972,2009,Oaxaca,San Juan Juquila Mixes,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos y epífitas
1054,73987,2009,Oaxaca,Santo Domingo Petapa,Uso del suelo diferente al forestal,Menor,No perceptible,No perceptible,Roza-tumba para introducir cultivos
1055,73987,2009,Oaxaca,Santo Domingo Petapa,Plagas y enfermedades,Mediana,No perceptible,No perceptible,Plagas por insectos
1056,73992,2009,Oaxaca,Matias Romero,Apertura de caminos,Menor,Menor,No perceptible,veredas
1057,73992,2009,Oaxaca,Matias Romero,Uso del suelo diferente al forestal,Mediana,Menor,No perceptible,Pastizal
1058,73992,2009,Oaxaca,Matias Romero,Incendios,Menor,No perceptible,No perceptible,quemas agropecuarias
1059,73992,2009,Oaxaca,Matias Romero,Pastoreo,Menor,No perceptible,No perceptible,Ganado bovino
1060,73997,2009,Oaxaca,Santa Maria Chimalapa,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Tocones
1061,73997,2009,Oaxaca,Santa Maria Chimalapa,Uso del suelo diferente al forestal,Menor,Menor,No perceptible,Area recien desmontada
1062,73997,2009,Oaxaca,Santa Maria Chimalapa,Incendios,Menor,No perceptible,No perceptible,Arboles quemados
1063,73997,2009,Oaxaca,Santa Maria Chimalapa,Pastoreo,Menor,No perceptible,No perceptible,Rotacion de ganado
1064,73997,2009,Oaxaca,Santa Maria Chimalapa,Plagas y enfermedades,Menor,No perceptible,No perceptible,Muerdago y termitas
